"nm_street"
NULL
"Coyle Street"
"Central Park West"
"Independence Ave"
"174 Street"
"Crystal Street"
"Erskine St"
"Richmond Street"
"Barretto Street"
"84 Avenue"
"Holden Boulevard"
"3 Avenue Bridge"
"30 Ave"
"68 Drive"
"Skillman Street"
"Sharrotts Road"
"East Loop Road"
"Cornaga Avenue"
"Battery Avenue"
"Green Street"
"94 Avenue"
"West 225 Street"
"266 Street"
"Elliot Place"
"Beach 32 Street"
"Yates Avenue"
"Dierauf Street"
"Narrows Road North"
"Dahill Road"
"Guerlain Street"
"Aldus Street"
"240 Street"
"Darlington Avenue"
"86 Road"
"Etna Street"
"Penn Street"
"Rose Avenue"
"82 Drive"
"Castleton Avenue"
"40 Avenue"
"Windermere Road"
"Clymer Street"
"Vermont Place"
"23 Avenue"
"Huntington Street"
"West 262 Street"
"Bement Avenue"
"Hunts Point Avenue"
"West 148 Street"
"Far Rockaway Boulevard"
"57 Drive"
"Lott Avenue"
"149 Drive"
"East Clarke Place"
"East 1 Street"
"Hancock Street"
"Fort Greene Place"
"East 59 Street"
"Charles Street"
"East 67 Street"
"Holt Place"
"Brighton 8 Court"
"121 Avenue"
"Arnow Avenue"
"149 Avenue"
"Beech Avenue"
"Ashford Street"
"52 Avenue"
"West 57 Street"
"Haight Avenue"
"Brook Avenue"
"Saint Clair Place"
"West Houston Street"
"Ellsworth Avenue"
"Thompson Avenue"
"Beach 63 Street"
"Goethals Avenue"
"Brooklyn Queens Expressway"
"121 Street"
"75 Avenue"
"Barlow Avenue"
"Chrystie Street"
"Herbert Street"
"Melba Street"
"94 Road"
"Grattan Street"
"Webb Avenue"
"Mill Road"
"Leland Avenue"
"Corsa Avenue"
"Aviation Road"
"White Plains Road"
"Overlook Terrace"
"8 Street"
"Carroll Street"
"Zerega Avenue"
"Epsom Course"
"Berriman Street"
"Longwood Avenue"
"Newhall Avenue"
"Noble Avenue"
"142 Place"
"Amboy Road"
"141 Road"
"New Street"
"Stewart Avenue"
"Vanpelt Avenue"
"Clarkson Avenue"
"West 119 Street"
"Dean St"
"Fieldston Road"
"Hunter Avenue"
"Henderson Avenue"
"Reservoir Oval West"
"Beverley Road"
"East Gun Hill Road"
"42Nd Street"
"Cathedral Parkway"
"West 129 Street"
"Manton Street"
"92 Street"
"Ovington Avenue"
"Kearney Avenue"
"Riverdale Avenue"
"Columbia Street"
"Wortman Avenue"
"167 Street"
"Parsons Boulevard"
"Beach 15 Street"
"Hawthorne Avenue"
"Hinsdale Street"
"Monsey Place"
"148 Street"
"Rivington Avenue"
"Haight Street"
"Selover Road"
"West 20 Street"
"West 15 Road"
"Brooklyn Queens Expressway Ramp"
"West 234 Street"
"65 Road"
"Bay 24 Street"
"Schurz Avenue"
"Boulevard"
"Schmidts Lane"
"Monticello Avenue"
"Stephens Avenue"
"71 Road"
"West 164 Street"
"Wilder Avenue"
"Henry Hudson Parkway Ramp"
"West 103 Street"
"Major Deegan Expressway Ramp"
"Andros Avenue"
"Park Avenue"
"Wythe Place"
"Beach 25 Street"
"East End Avenue"
"Bronxdale Avenue"
"Charlton Street"
"Brightwater Court"
"South Conduit Avenue"
"Worlds Fair Marina"
"West 128 Street"
"Jackson Avenue"
"New Haven Avenue"
"Vera Street"
"Burns Street"
"116 Avenue"
"Adelphi Street"
"East Avenue"
"Herzl Street"
"Bay 35 Street"
"Bolton Avenue"
"West 151 Street"
"Bessemund Avenue"
"East 204 Street"
"Alden Park"
"156 Street"
"Briggs Avenue"
"Corson Avenue"
"Colgate Avenue"
"Hillmeyer Avenue"
"Evelyn Place"
"Einstein Loop"
"Elsmere Place"
"East 176 Street"
"146 Avenue"
"Riverside Boulevard"
"Terrace Place"
"Naughton Avenue"
"67 Drive"
"East 155 Street"
"East 88 Street"
"Dreiser Loop"
"Madison Street"
"Corporal Kennedy Street"
"Mulberry Street"
"70 Road"
"Astoria Boulevard"
"Bainbridge Avenue"
"Metcalf Avenue"
"Carlton Avenue"
"Vesey Street"
"South 1 Street"
"169 Place"
"East 198 Street"
"West 138 Street"
"West 5 Street"
"38 Street"
"69 Place"
"Milford Street"
"Robin Road"
"East 80 Street"
"Vermont Street"
"Engert Avenue"
"Odell Street"
"Seton Avenue"
"Ryder Street"
"112 Road"
"71 Place"
"Boscobel Place"
"150 Street"
"Corporal Kennedy"
"214 Place"
"Vandervort Avenue"
"Alaska Street"
"Topping Avenue"
"27 Avenue"
"Stagg Walk"
"Berkeley Place"
"148 Drive"
"65 Avenue"
"East 146 Street"
"12 Street"
"Seagirt Boulevard"
"Westchester Avenue"
"Crotona Place"
