"borough","nm_street","latitude","longitude"
"Bronx","East 142 Street","4081165","-7392104"
"Bronx","Ellis Avenue","40832233","-7385427"
"Bronx","East 241 Street","40901836","-7384548"
"Bronx","Hutchinson River Parkway","40883343","-7381614"
"Bronx","Donizetti Place","40876022","-7383387"
"Bronx","Westchester Avenue","4081969","-7390161"
"Bronx","Cross Bronx Expressway","4083227","-7385817"
"Bronx","Westchester Avenue","40815975","-7391102"
"Bronx","Havemeyer Avenue","4082367","-7384596"
"Bronx","Mosholu Parkway","40885303","-7388701"
"Bronx","Grand Concourse","40869827","-7389148"
"Bronx","East 215 Street","40880142","-738628"
"Bronx","Walton Avenue","4084698","-7391065"
"Bronx","East 237 Street","4089725","-73855255"
"Bronx","West Kingsbridge Road","40867878","-7389944"
"Bronx","Pelham Parkway North","40858574","-73851234"
"Bronx","East 187 Street","40855698","-7388786"
"Bronx","Stillwell Avenue","4086106","-7382562"
"Bronx","Goulden Avenue","40878056","-73892136"
"Bronx","West Fordham Road","40862766","-7390127"
"Bronx","East 167 Street","40835396","-7392031"
"Bronx","East 243 Street","40906883","-73849686"
"Bronx","Bruckner Expressway","40856358","-73826515"
"Bronx","Webster Avenue","40847137","-7390126"
"Bronx","East 198 Street","4086663","-7388647"
"Bronx","Fowler Avenue","40849667","-7386078"
"Bronx","Sheridan Expressway","408338009","-738832231"
"Bronx","University Avenue","40870323","-7389961"
"Bronx","Parkview Avenue","40845474","-7382703"
"Bronx","Saint Anns Avenue","40802296","-7392073"
"Bronx","East Tremont Avenue","40840855","-7386547"
"Bronx","East 168 Street","408306257","-739045052"
"Bronx","Pelham Parkway","408566201","-738676134"
"Bronx","Broadway","40877068","-73906105"
"Bronx","East 138 Street","40805557","-7391453"
"Bronx","Eastchester Road","4087307","-7384424"
"Bronx","Bruckner Expressway","40830555","-73832664"
"Bronx","Williamsbridge Road","4085088","-73851814"
"Bronx","Claremont Parkway","40839268","-73903824"
"Bronx","East 167 Street","40828194","-7390386"
"Bronx","Grand Concourse","408553","-73901306"
"Bronx","East 168 Street","408328296","-739112848"
"Bronx","Commonwlth Avenue","40834423","-738689"
"Bronx","East Tremont Avenue","4084519","-7389066"
"Bronx","Canal Place","40815872","-739257"
"Bronx","East 223 Street","4088287","-7385021"
"Bronx","West Tremont Avenue","4085198","-7391018"
"Bronx","Southern Boulevard","4081858","-7389387"
"Bronx","Pelham Parkway South","4085686","-7385804"
"Bronx","Stratford Avenue","40830624","-7387585"
"Bronx","East 234 Street","408967575","-738697559"
"Bronx","Sheridan Avenue","40830563","-7391883"
"Bronx","Naples Terrace","40879864","-73905304"
"Bronx","Westchester Avenue","40815937","-73909134"
"Bronx","East 180 Street","40846542","-7388561"
"Bronx","East 132 Street","40803555","-7392182"
"Bronx","Morris Avenue","40825577","-73918465"
"Bronx","East 204 Street","4087306","-7387864"
"Bronx","East Tremont Avenue","408518","-73909225"
"Bronx","Randall Avenue","40812214","-73885895"
"Bronx","East 149 Street","4081459","-739139"
"Bronx","Saint Anns Avenue","40817913","-73911156"
"Bronx","West 254 Street","4090104","-7389689"
"Bronx","Story Avenue","408213688","-738784106"
"Bronx","Orloff Avenue","4088368","-73893135"
"Bronx","East 179 Street","40842846","-73881424"
"Bronx","Tiffany Street","40813805","-7389112"
"Bronx","Bruckner Expressway","40823017","-7388271"
"Bronx","West Fordham Road","40861862","-7391282"
"Bronx","Patterson Avenue","4081292","-73861"
"Bronx","Jerome Avenue","408724","-7388981"
"Bronx","College Avenue","40829002","-7391557"
"Bronx","Oak Point Avenue","40811043","-7388073"
"Bronx","Jerome Avenue","40859","-7390353"
"Bronx","Macombs Road","40841877","-7391796"
"Bronx","Prospect Avenue","40811787","-7390465"
"Bronx","Kappock Street","4087793","-7391762"
"Bronx","Broadway","40891445","-73897415"
"Bronx","Barnes Avenue","408883","-7385682"
"Bronx","East 187 Street","40855354","-7388721"
"Bronx","Washington Avenue","4082534","-73910194"
"Bronx","East 163 Street","40825687","-73913826"
"Bronx","Grand Concourse","40875366","-73886185"
"Bronx","Burke Avenue","408712675","-73857547"
"Bronx","Country Club Road","40842846","-7382568"
"Bronx","East 175 Street","4083986","-73888145"
"Bronx","Grand Concourse","4081488","-7392886"
"Bronx","Asch Loop","4087146","-7383054"
"Bronx","East 180 Street","40841793","-73875374"
"Bronx","Shakespeare Avenue","4083927","-7392257"
"Bronx","West Fordham Road","40862186","-7391003"
"Bronx","West Fordham Road","40862114","-7391331"
"Bronx","Morris Park Avenue","40845016","-7386707"
"Bronx","Pratt Avenue","40889362","-7383446"
"Bronx","East Gun Hill Road","40879578","-73875374"
"Bronx","Westchester Avenue","40834126","-7385246"
"Bronx","Saint Anns Avenue","40811863","-7391437"
"Bronx","Pelham Parkway North","40858006","-7384129"
"Bronx","Spofford Avenue","40813786","-7389132"
"Bronx","River Avenue","40826607","-73926636"
"Bronx","Webster Avenue","408562453","-738955793"
"Bronx","Bathgate Avenue","408468268","-738970434"
"Bronx","East 233 Street","40892006","-7385305"
"Bronx","West 181 Street","40856987","-7390897"
"Bronx","Crotona Park East","40836536","-7389339"
"Bronx","Leland Avenue","40832695","-7386367"
"Bronx","Benson Street","40840504","-73843315"
"Bronx","East 144 Street","4081572","-73925064"
"Bronx","Jackson Avenue","40816307","-7390806"
"Bronx","Baychester Avenue","40879097","-7383247"
"Bronx","Verveelen Place","4087831","-7390523"
"Bronx","Washington Avenue","4084964","-7389661"
"Bronx","River Avenue","4082952","-7392498"
"Bronx","East 213 Street","40874985","-7385144"
"Bronx","Kingsbridge Avenue","4088205","-7390442"
"Bronx","East 165 Street","40825287","-7390493"
"Bronx","East 178 Street","40844105","-73886154"
"Bronx","Sound View Avenue","40817173","-73861725"
"Bronx","Henry Hudson Parkway","40899616","-7389357"
"Bronx","Major Deegan Expressway","40875122","-73905174"
"Bronx","Mosholu Parkway","4086804","-73879105"
"Bronx","East Tremont Avenue","40840675","-73838394"
"Bronx","Washington Avenue","4085582","-7389264"
"Bronx","East Tremont Avenue","4084247","-7385335"
"Bronx","East Tremont Avenue","408464867","-738943368"
"Bronx","Grand Concourse","408613524","-738977368"
"Bronx","Eastchester Road","4084636","-7384463"
"Bronx","Givan Avenue","40873344","-7384954"
"Bronx","East Bedford Park Boulevard","40872765","-7388864"
"Bronx","Randall Avenue","408269923","-738200377"
"Bronx","Jackson Avenue","4080484","-73912796"
"Bronx","Quincy Avenue","40829807","-7382896"
